City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
301,porto novo,75,BR,1522605600,58,-23.68,-45.44,82.4,3.36
302,camargo,44,MX,1522610669,8,27.69,-105.17,81.14,3.94
303,cascais,20,PT,1522609200,76,38.7,-9.42,59.0,13.87
304,sur,0,OM,1522610588,84,22.57,59.53,79.97,0.58
305,trairi,20,BR,1522610662,100,-3.28,-39.27,82.31,10.98
306,yulara,0,AU,1522609200,29,-25.24,130.99,75.2,10.29
307,calvinia,8,ZA,1522610662,77,-31.47,19.78,63.41,1.14
308,karacabey,8,TR,1522610671,63,40.21,28.36,61.88,18.25
309,quthing,64,LS,1522610671,92,-30.4,27.7,55.76,0.25
310,mama,75,MX,1522608480,33,20.48,-89.36,91.4,9.17
311,hasaki,20,JP,1522607400,93,35.73,140.83,51.8,4.7
312,oussouye,0,SN,1522609200,78,12.49,-16.54,87.8,6.93
313,morro da fumaca,44,BR,1522610664,99,-28.65,-49.21,76.19,5.61
314,mopipi,0,BW,1522610664,48,-21.2,24.86,73.85,10.76
315,pailon,75,BO,1522609200,52,-17.66,-62.72,91.4,10.29
316,reconquista,0,AR,1522610665,74,-29.14,-59.64,82.58,7.4
317,arroyo,20,US,1522608840,44,41.39,-78.88,44.6,10.29
318,freeport,40,BS,1522609200,73,26.54,-78.7,77.0,4.7
319,northam,75,GB,1522608600,93,51.04,-4.21,39.2,10.29
320,broome,75,GB,1522608960,86,52.47,1.45,41.0,5.82
321,fernley,20,US,1522608960,18,39.61,-119.25,64.4,3.49
322,erenhot,0,CN,1522610675,44,43.65,111.97,50.81,10.65
323,la rioja,92,AR,1522610440,65,-29.41,-66.86,73.76,9.86
324,kijang,0,KR,1522605600,82,35.24,129.21,55.4,3.36
325,klyuchi,0,RU,1522610668,81,52.25,79.17,18.5,7.29
326,walvis bay,0,NA,1522609200,77,-22.95,14.51,62.6,8.05
327,boyolangu,80,ID,1522610676,99,-8.09,111.9,71.06,2.26
328,bathurst,68,AU,1522610677,76,-33.42,149.58,60.98,4.16
329,terpinnya,56,UA,1522610669,66,46.97,35.42,49.91,16.46
330,tabas,8,IR,1522610677,49,33.6,56.92,61.16,4.38
331,sainte-marie,75,CA,1522609200,47,46.45,-71.03,33.8,18.34
332,lata,0,IN,1522610671,75,30.78,78.62,47.21,2.71
333,buzmeyin,90,TM,1522605600,71,38.05,58.21,50.0,4.7
334,aksu,0,KZ,1522607400,86,52.04,76.93,26.6,8.95
335,mogadishu,48,SO,1522610680,100,2.04,45.34,82.31,12.21
336,kikwit,48,CD,1522610672,90,-5.04,18.82,77.36,3.6
337,saint-joseph,0,FR,1522609200,58,43.56,6.97,57.2,2.24
338,pyaozerskiy,56,RU,1522610672,76,65.83,31.17,24.35,5.17
339,buin,0,CL,1522609200,32,-33.73,-70.74,80.6,10.29
340,anzio,0,IT,1522608900,93,41.45,12.63,55.4,5.82
341,abu kamal,36,SY,1522610681,32,34.45,40.92,61.43,4.16
342,mangai,20,CD,1522610674,94,-4.07,19.59,76.64,1.14
343,havoysund,0,NO,1522608600,62,71.0,24.66,23.0,4.7
344,deputatskiy,20,RU,1522610682,53,69.3,139.9,-19.57,2.59
345,lebu,75,ET,1522609200,51,8.96,38.73,62.6,6.93
346,isperih,64,BG,1522610683,90,43.72,26.83,49.91,14.0
347,mujiayingzi,24,CN,1522610675,56,42.12,118.78,54.23,12.44
348,cervo,68,BR,1522610675,81,-22.19,-46.24,76.28,6.62
349,sembakung,56,ID,1522610684,97,3.82,117.25,76.01,0.47
350,surt,20,LY,1522610684,90,31.21,16.59,61.34,11.1
351,cortez,1,US,1522608780,16,37.35,-108.58,64.4,11.41
352,hamilton,75,BM,1522608900,78,32.3,-64.78,71.6,6.93
353,quzhou,24,CN,1522610677,89,28.97,118.86,55.94,2.37
354,cairns,75,AU,1522609200,88,-16.92,145.77,77.0,9.17
355,lorengau,56,PG,1522610686,100,-2.02,147.27,82.31,12.66
356,fort nelson,20,CA,1522609200,38,58.81,-122.69,24.8,2.24
357,hostotipaquillo,0,MX,1522610679,25,21.06,-104.05,81.68,1.81
358,adamas,0,GR,1522608600,63,36.73,24.43,60.8,13.87
359,sao joao da barra,20,BR,1522605600,48,-21.64,-41.05,87.8,4.7
360,gizo,0,IL,1522608600,72,31.8,34.94,66.2,3.36
361,itarema,76,BR,1522610495,83,-2.92,-39.92,84.02,10.65
362,baruun-urt,92,MN,1522610680,80,46.68,113.28,27.32,15.68
363,san policarpo,80,PH,1522610680,100,12.18,125.51,77.54,7.52
364,sobolevo,92,RU,1522610681,92,54.43,31.9,37.76,21.05
365,dongsheng,0,CN,1522610681,96,29.72,112.52,62.69,5.61
366,loukhi,36,RU,1522610681,83,66.08,33.04,21.29,5.28
367,bogovarovo,56,RU,1522610681,79,58.98,47.02,25.61,2.59
368,hobyo,48,SO,1522610682,81,5.35,48.53,81.5,8.41
369,johnson city,90,US,1522608900,42,36.31,-82.35,64.4,5.82
370,horta,20,ES,1522609200,66,41.43,2.16,55.4,1.12
371,nishihara,1,JP,1522608960,87,35.74,139.53,60.8,4.7
372,kargil,12,PK,1522610682,77,34.56,76.13,2.39,1.36
373,vuktyl,80,RU,1522610691,82,63.86,57.31,21.38,4.16
374,williamstown,75,AU,1522609200,77,-34.67,138.89,62.6,9.17
